domain,category,credibility_score,sources,iffy_factual,iffy_bias,iffy_score,tranco_rank,domain_age_years,domain_registered,factcheck_claims,safe_browsing_flagged,score_cat,score_iffy,score_tranco,score_age,score_factcheck,score_safebrowsing
newsbreak.com,unreliable,0.105,1,M,FN,0.2,2500,28.5,1997-09-03T04:00:00Z,,,0.1,0.2,0.1,0.1,0.1,0.1
newsbreakers.org,satire,0.27,1,,,,,21.3,2004-11-09T16:27:45.23Z,,,0.3,0.3,0.3,0.3,0.3,0.3
newsbreakshere.com,fake,0.045,1,,,,,7.4,2018-10-03T18:25:01Z,,,0.05,0.05,0.05,0.05,0.05,0.05
newsbud.com,unreliable,0.105,1,M,CP,0.2,,22.0,2004-03-18T17:32:09Z,,,0.1,0.2,0.1,0.1,0.1,0.1
newsbysquad.com,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
newscorpse.com,mixed,0.18,1,,,,,21.7,2004-07-07T00:03:10Z,0,,0.2,0.2,0.2,0.2,0.2,0.2
newsdaily12.com,fake,0.045,1,,,,,5.5,2020-08-21T17:56:42Z,,,0.05,0.05,0.05,0.05,0.05,0.05
newsexaminer.net,fake,0.068,2,L,FN,0.1,914449,11.2,2014-12-11T17:33:47Z,,,0.05,0.1,0.35,0.05,0.05,0.05
newsfeedhunter.com,unreliable,0.095,1,L,FN,0.1,,1.1,2025-02-02T19:15:13Z,,,0.1,0.1,0.1,0.2,0.1,0.1
newsfrompolitics.com,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
newsglobal.com,unreliable,0.09,1,L,FN,0.1,,16.9,2009-04-10T18:06:26Z,,,0.1,0.1,0.1,0.1,0.1,0.1
newsheist.com,unreliable,0.09,1,L,FN,0.1,,11.3,2014-11-10T20:50:56Z,,,0.1,0.1,0.1,0.1,0.1,0.1
newshourfirst.com,unreliable,0.09,1,L,FN,0.1,,6.1,2020-01-24T22:35:30Z,,,0.1,0.1,0.1,0.1,0.1,0.1
newsinsideout.com,unreliable,0.09,1,L,CP,0.1,,11.3,2014-11-23T18:34:55Z,,,0.1,0.1,0.1,0.1,0.1,0.1
newsleak.co,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
newslo.com,fake,0.045,1,,,,,12.8,2013-05-21T15:02:17Z,,,0.05,0.05,0.05,0.05,0.05,0.05
newslogue.com,mixed,0.18,1,,,,,12.0,2014-03-19T01:15:49Z,,,0.2,0.2,0.2,0.2,0.2,0.2
newsmagazine.com,fake,0.045,1,,,,,28.2,1998-01-01T05:00:00Z,,,0.05,0.05,0.05,0.05,0.05,0.05
newsmax.com,unreliable,0.083,2,L,FN,0.1,6263,27.6,1998-07-18T04:00:00Z,7,,0.1,0.1,0.1,0.1,0.05,0.1
newsmutiny.com,satire,0.27,1,,,,,22.4,2003-10-17T17:23:27Z,,,0.3,0.3,0.3,0.3,0.3,0.3
newsninja2012.com,mixed,0.18,1,,,,,4.2,2021-12-28T19:19:38Z,,,0.2,0.2,0.2,0.2,0.2,0.2
newspunch.com,unreliable,0.08,1,VL,FN,0.0,197326,21.4,2004-10-22T23:47:29Z,16,,0.1,0.0,0.35,0.1,0.05,0.1
newspushed.com,unreliable,0.09,1,L,FN,0.1,,6.0,2020-02-14T09:32:09Z,,,0.1,0.1,0.1,0.1,0.1,0.1
newsrael.com,unreliable,0.105,1,M,FN,0.2,,6.6,2019-07-26T19:38:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
newsready.com,unreliable,0.105,1,M,FN,0.2,,21.8,2004-05-18T16:31:40Z,,,0.1,0.2,0.1,0.1,0.1,0.1
newsrescue.com,unreliable,0.118,1,M,FN,0.2,889860,18.8,2007-05-02T14:07:53Z,,,0.1,0.2,0.35,0.1,0.1,0.1
newsrnd.com,unreliable,0.118,1,M,FN,0.2,277139,7.9,2018-03-24T01:42:53Z,,,0.1,0.2,0.35,0.1,0.1,0.1
newssloth.com,unreliable,0.105,1,M,FN,0.2,,5.8,2020-05-07T12:16:51Z,,,0.1,0.2,0.1,0.1,0.1,0.1
newstarget.com,conspiracy,0.103,2,L,CP,0.1,114801,29.3,1996-11-02T05:00:00Z,,,0.1,0.1,0.35,0.1,0.1,0.1
newsthump.com,satire,0.273,1,,,,348492,15.4,2010-10-03T10:22:02Z,,,0.3,0.3,0.35,0.3,0.3,0.3
newstoad.net,satire,0.27,1,,,,,13.0,2013-03-14T19:19:35Z,,,0.3,0.3,0.3,0.3,0.3,0.3
newsview.gr,unreliable,0.075,1,VL,FN,0.0,,,,,,0.1,0.0,0.1,0.1,0.1,0.1
newswars.com,unreliable,0.103,1,L,FN,0.1,379083,16.5,2009-08-30T03:06:39Z,,,0.1,0.1,0.35,0.1,0.1,0.1
newswatch28.com,fake,0.045,1,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05
newswatch33.com,fake,0.045,1,,,,,5.5,2020-09-04T18:25:56Z,,,0.05,0.05,0.05,0.05,0.05,0.05
newswire-24.com,rumor,0.225,1,,,,,6.8,2019-04-30T18:46:32Z,,,0.25,0.25,0.25,0.25,0.25,0.25
newswithviews.com,fake,0.068,2,L,FN,0.1,142401,24.7,2001-06-04T16:03:56Z,,,0.05,0.1,0.35,0.05,0.05,0.05
newyorker.com/humor,satire,0.27,1,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3
newzoh.com,unreliable,0.09,1,L,FN,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
nextnewsnetwork.com,unreliable,0.09,1,L,FN,0.1,,13.7,2012-06-07T01:00:35Z,,,0.1,0.1,0.1,0.1,0.1,0.1
nhbusinessdaily.com,unreliable,0.105,1,M,FN,0.2,,8.0,2018-02-16T20:55:24Z,,,0.1,0.2,0.1,0.1,0.1,0.1
niagaraleader.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:21Z,,,0.1,0.2,0.1,0.1,0.1,0.1
ninefornews.nl,unreliable,0.103,1,L,FN,0.1,296109,11.8,2014-05-16T12:44:58Z,,,0.1,0.1,0.35,0.1,0.1,0.1
njbusinessdaily.com,unreliable,0.105,1,M,FN,0.2,,8.0,2018-02-16T20:55:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
nmbusinessdaily.com,unreliable,0.105,1,M,FN,0.2,,8.0,2018-02-16T20:55:24Z,,,0.1,0.2,0.1,0.1,0.1,0.1
nmws.us,unreliable,0.09,1,L,FN,0.1,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
nodisinfo.com,conspiracy,0.09,1,,,,,17.1,2009-02-10T18:17:06Z,,,0.1,0.1,0.1,0.1,0.1,0.1
noi.org,unreliable,0.118,1,M,CP,0.2,286071,30.0,1996-03-09T05:00:00Z,,,0.1,0.2,0.35,0.1,0.1,0.1
nolareporter.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:47Z,0,,0.1,0.2,0.1,0.1,0.1,0.1
noleftturn.us,unreliable,0.105,1,M,FN,0.2,,,,,,0.1,0.2,0.1,0.1,0.1,0.1
nomorefakenews.com,conspiracy,0.088,2,VL,CP,0.0,322802,25.4,2000-10-06T00:30:53Z,,,0.1,0.0,0.35,0.1,0.1,0.1
noqreport.com,unreliable,0.103,1,L,FN,0.1,350453,8.5,2017-09-12T18:12:59Z,,,0.1,0.1,0.35,0.1,0.1,0.1
nordicmonitor.com,unreliable,0.118,1,M,FN,0.2,307404,7.3,2018-11-02T13:08:07Z,,,0.1,0.2,0.35,0.1,0.1,0.1
northalaskanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:42Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northbaltimorejournal.com,unreliable,0.105,1,M,FN,0.2,,7.9,2018-04-04T21:46:08Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northbirminghamtimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:44Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northbluegrassnews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:45Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northbostonnews.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:22Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northbrowardnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:21Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcharlottetoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-18T21:49:32Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcincynews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:41Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcoastcanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:28Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcoasttoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:31Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcolumbusnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:17Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcooknews.com,unreliable,0.105,1,M,FN,0.2,,10.5,2015-08-21T16:18:29Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcountryleader.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:16Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcountryreporter.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:17Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northcrane.com,unreliable,0.09,1,,,,,14.2,2011-12-03T06:59:50Z,,,0.1,0.1,0.1,0.1,0.1,0.1
northdaytonnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:04Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northdsmnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:45:56Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northeastherald.org,unreliable,0.105,1,M,FN,0.2,,4.1,2022-02-07T16:55:20.441Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northegyptnews.com,unreliable,0.105,1,M,FN,0.2,,8.3,2017-11-29T16:54:43Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northernclarkcountyherald.com,unreliable,0.105,1,M,FN,0.2,,3.5,2022-08-15T17:08:06Z,0,,0.1,0.2,0.1,0.1,0.1,0.1
northernwitimes.com,unreliable,0.105,1,M,FN,0.2,,3.6,2022-07-25T15:35:16Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northessexnews.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:15Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northfultontoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:48Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northguilfordnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:45Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northgwinnettnews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:25Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northhennepinnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:22Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northidahotimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:34Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northindynews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:44Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northinlandnews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:37Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northiowareporter.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:38Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northiredellnews.com,unreliable,0.12,1,MF,FN,0.3,,6.7,2019-06-30T20:46:35Z,,,0.1,0.3,0.1,0.1,0.1,0.1
northjeffconews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:44Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northkentnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:22Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northkentuckynews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:32Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northlaketimes.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:17Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northlittlerocktimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:45Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northmecklenburgnews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-18T21:40:28Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northmianews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:30Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northmichigannews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:38Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northmiddlesextimes.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northnevadanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:32Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northnewcastlenews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:45:48Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northoctimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:47Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northokcnews.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northomahatimes.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:22Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northorlandonews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:20Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northpalmbeachtoday.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:30Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northpanhandlenews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:22Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northpimanews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:20Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northpinellasnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:19Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northraleightoday.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:03Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northramseynews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:21Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northsactoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30,0,,0.1,0.2,0.1,0.1,0.1,0.1
northsfvtoday.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:20Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northsgvnews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-08-30T15:05:18Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northshorelanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:28Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northstlnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-07-03T17:53:33Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northsummitnews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:25Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northtrianglenews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:45:51Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northtulsatoday.com,unreliable,0.105,1,M,FN,0.2,,6.4,2019-10-15T14:55:13Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northvegastimes.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-04T20:54:31Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northwakenews.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:04Z,,,0.1,0.2,0.1,0.1,0.1,0.1
northwichitanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:41Z,,,0.1,0.2,0.1,0.1,0.1,0.1
notallowedto.com,unreliable,0.165,2,L,FN,0.1,,11.4,2014-10-14T11:01:08Z,,,0.2,0.1,0.2,0.2,0.2,0.2
notrickszone.com,unreliable,0.103,1,L,CP,0.1,321020,15.6,2010-08-06T14:52:10Z,,,0.1,0.1,0.35,0.1,0.1,0.1
novitimes.com,unreliable,0.105,1,M,FN,0.2,,6.7,2019-06-30T20:46:31Z,,,0.1,0.2,0.1,0.1,0.1,0.1
now8news.com,fake,0.038,2,VL,FN,0.0,,10.6,2015-07-09T04:48:23Z,,,0.05,0.0,0.05,0.05,0.05,0.05
nowmedianetwork.co,unreliable,0.105,1,M,FN,0.2,,,,,,0.1,0.2,0.1,0.1,0.1,0.1
nowtheendbegins.com,conspiracy,0.103,2,L,CP,0.1,311225,17.4,2008-10-18T17:06:09Z,,,0.1,0.1,0.35,0.1,0.1,0.1
npiamerica.org,unreliable,0.135,1,,,,,14.6,2011-07-22T18:34:06.543Z,,,0.15,0.15,0.15,0.15,0.15,0.15
npr.news,unreliable,0.075,1,VL,CP,0.0,,10.6,2015-07-15T17:00:09.877Z,,,0.1,0.0,0.1,0.1,0.1,0.1
nrlc.org,unreliable,0.103,1,L,FN,0.1,200305,30.6,1995-08-13T04:00:00.872Z,,,0.1,0.1,0.35,0.1,0.1,0.1
ntd.com,unreliable,0.11,1,M,FN,0.2,63270,30.1,1996-02-12T05:00:00Z,,,0.1,0.2,0.2,0.1,0.1,0.1
ntd.tv,unreliable,0.23,1,M,FN,0.2,926149,15.4,2010-09-30T05:36:31Z,1,,0.1,0.2,0.35,0.1,0.85,0.1
nutrientreference.com,unreliable,0.075,1,VL,CP,0.0,,19.8,2006-05-25T13:58:23Z,,,0.1,0.0,0.1,0.1,0.1,0.1
nutritionalanarchy.com,unreliable,0.09,1,,,,,12.6,2013-07-26T01:40:54Z,,,0.1,0.1,0.1,0.1,0.1,0.1
nutritionfacts.org,reliable,0.67,2,M,CP,0.2,38645,26.0,2000-03-05T01:33:16.294Z,,,0.9,0.2,0.2,0.9,0.9,0.9
nvbusinessdaily.com,unreliable,0.105,1,M,FN,0.2,,8.0,2018-02-16T20:55:23Z,,,0.1,0.2,0.1,0.1,0.1,0.1
nvic.org,unreliable,0.103,1,L,CP,0.1,199220,22.8,2003-05-20T19:29:11.567Z,,,0.1,0.1,0.35,0.1,0.1,0.1
nwalabamanews.com,unreliable,0.105,1,M,FN,0.2,,6.5,2019-09-05T20:13:29Z,,,0.1,0.2,0.1,0.1,0.1,0.1
